iter	Passed	Remaining
0	192	192149
1	265	132279
2	326	108563
3	428	106742
4	498	99187
5	567	93947
6	640	90926
7	750	93123
8	826	91017
9	921	91233
10	1017	91499
11	1090	89750
12	1174	89208
13	1229	86609
14	1311	86118
15	1373	84496
16	1459	84411
17	1505	82135
18	1561	80616
19	1623	79573
20	1684	78536
21	1746	77625
22	1798	76407
23	1847	75146
24	1926	75115
25	1976	74031
26	2039	73484
27	2099	72891
28	2167	72590
29	2227	72017
30	2278	71208
31	2322	70260
32	2374	69593
33	2435	69198
34	2512	69278
35	2576	68981
36	2643	68799
37	2696	68253
38	2756	67919
39	2799	67177
40	2844	66534
41	2920	66619
42	2977	66265
43	3043	66117
44	3102	65844
45	3168	65707
46	3219	65280
47	3285	65169
48	3350	65036
49	3405	64699
50	3456	64318
51	3555	64824
52	3621	64701
53	3671	64322
54	3739	64258
55	3807	64184
56	3875	64112
57	3939	63986
58	3992	63675
59	4055	63533
60	4121	63442
61	4221	63865
62	4299	63942
63	4366	63865
64	4521	65036
65	4605	65176
66	4679	65169
67	4762	65273
68	4846	65390
69	4930	65502
70	5010	65556
71	5093	65646
72	5168	65631
73	5269	65935
74	5364	66159
75	5421	65916
76	5516	66125
77	5561	65742
78	5613	65448
79	5655	65042
80	5725	64957
81	5791	64834
82	5866	64814
83	5951	64901
84	6035	64970
85	6122	65067
86	6216	65240
87	6283	65121
88	6371	65216
89	6441	65130
90	6519	65118
91	6586	65005
92	6654	64898
93	6715	64723
94	6768	64477
95	6838	64398
96	6890	64141
97	7023	64640
98	7108	64693
99	7178	64606
100	7244	64484
101	7344	64662
102	7430	64711
103	7505	64664
104	7581	64625
105	7692	64879
106	7760	64769
107	7847	64817
108	7926	64792
109	8030	64976
110	8109	64948
111	8165	64744
112	8259	64829
113	8353	64925
114	8405	64688
115	8463	64497
116	8538	64438
117	8616	64405
118	8691	64343
119	8757	64221
120	8823	64096
121	8891	63991
122	8962	63900
123	9007	63636
124	9077	63541
125	9146	63443
126	9189	63166
127	9260	63084
128	9325	62963
129	9403	62932
130	9468	62811
131	9522	62616
132	9581	62459
133	9635	62271
134	9690	62093
135	9754	61969
136	9824	61884
137	9892	61790
138	9958	61685
139	10044	61703
140	10110	61596
141	10195	61605
142	10274	61573
143	10331	61417
144	10414	61412
145	10471	61251
146	10527	61086
147	10590	60969
148	10656	60865
149	10759	60971
150	10812	60794
151	10863	60608
152	10931	60517
153	10985	60348
154	11035	60162
155	11105	60082
156	11169	59972
157	11216	59775
158	11309	59817
159	11372	59706
160	11436	59596
161	11481	59393
162	11543	59277
163	11609	59181
164	11680	59112
165	11746	59016
166	11797	58846
167	11848	58676
168	11893	58480
169	11946	58328
170	12007	58210
171	12078	58143
172	12152	58093
173	12242	58115
174	12288	57930
175	12337	57762
176	12395	57636
177	12468	57579
178	12519	57420
179	12581	57317
180	12647	57229
181	12698	57073
182	12770	57012
183	12815	56834
184	12870	56698
185	12937	56621
186	13020	56607
187	13083	56511
188	13151	56433
189	13209	56315
190	13259	56162
191	13314	56032
192	13359	55861
193	13411	55721
194	13458	55557
195	13495	55360
196	13550	55235
197	13600	55087
198	13645	54925
199	13685	54740
200	13747	54649
201	13791	54484
202	13844	54355
203	13904	54254
204	13997	54282
205	14053	54167
206	14109	54052
207	14170	53955
208	14224	53835
209	14295	53778
210	14357	53688
211	14420	53601
212	14480	53502
213	14557	53470
214	14619	53376
215	14678	53278
216	14725	53134
217	14781	53024
218	14842	52929
219	14897	52818
220	14955	52716
221	15015	52620
222	15064	52491
223	15118	52375
224	15179	52283
225	15231	52165
226	15282	52040
227	15364	52024
228	15420	51916
229	15489	51856
230	15548	51759
231	15599	51639
232	15682	51623
233	15732	51500
234	15774	51349
235	15835	51263
236	15889	51154
237	15959	51097
238	16033	51052
239	16083	50930
240	16204	51034
241	16258	50924
242	16332	50879
243	16394	50794
244	16474	50769
245	16513	50615
246	16586	50566
247	16632	50433
248	16737	50482
249	16845	50536
250	16885	50388
251	16929	50249
252	16974	50119
253	17023	49996
254	17087	49921
255	17150	49842
256	17211	49760
257	17271	49671
258	17332	49587
259	17395	49511
260	17461	49441
261	17516	49339
262	17590	49293
263	17669	49259
264	17725	49163
265	17773	49043
266	17855	49018
267	17922	48951
268	17979	48858
269	18041	48778
270	18098	48685
271	18159	48603
272	18227	48538
273	18289	48460
274	18359	48401
275	18404	48277
276	18457	48175
277	18512	48080
278	18610	48092
279	18699	48083
280	18798	48099
281	18853	48002
282	18922	47942
283	18989	47875
284	19071	47846
285	19142	47789
286	19208	47720
287	19263	47622
288	19324	47542
289	19373	47431
290	19437	47356
291	19490	47257
292	19559	47196
293	19622	47121
294	19690	47056
295	19753	46981
296	19807	46885
297	19860	46786
298	19915	46690
299	19988	46639
300	20063	46592
301	20120	46504
302	20184	46431
303	20238	46334
304	20313	46288
305	20367	46192
306	20409	46071
307	20477	46007
308	20540	45934
309	20616	45888
310	20707	45875
311	20791	45847
312	20856	45778
313	20920	45705
314	20980	45623
315	21045	45554
316	21143	45554
317	21220	45511
318	21316	45506
319	21421	45520
320	21483	45443
321	21542	45359
322	21674	45428
323	21733	45345
324	21797	45271
325	21856	45187
326	21900	45074
327	21948	44967
328	22012	44895
329	22064	44797
330	22142	44752
331	22205	44678
332	22303	44673
333	22393	44651
334	22470	44606
335	22543	44550
336	22582	44427
337	22661	44384
338	22743	44346
339	22803	44265
340	22885	44227
341	22949	44154
342	23000	44056
343	23093	44038
344	23175	44000
345	23239	43927
346	23302	43851
347	23369	43783
348	23446	43734
349	23519	43678
350	23577	43595
351	23647	43532
352	23739	43511
353	23806	43443
354	23856	43345
355	23901	43237
356	23976	43184
357	24026	43085
358	24093	43019
359	24138	42913
360	24184	42807
361	24223	42691
362	24270	42589
363	24336	42521
364	24405	42458
365	24460	42371
366	24533	42314
367	24603	42254
368	24659	42168
369	24711	42076
370	24758	41975
371	24805	41875
372	24863	41795
373	24921	41714
374	24968	41613
375	25014	41512
376	25087	41457
377	25144	41375
378	25216	41317
379	25281	41248
380	25353	41190
381	25416	41118
382	25486	41057
383	25548	40983
384	25597	40889
385	25663	40822
386	25722	40743
387	25811	40712
388	25901	40683
389	25967	40615
390	26018	40525
391	26094	40472
392	26158	40403
393	26227	40339
394	26321	40315
395	26387	40247
396	26447	40170
397	26492	40071
398	26541	39978
399	26613	39920
400	26676	39848
401	26799	39865
402	26859	39788
403	26931	39730
404	26998	39664
405	27071	39607
406	27136	39537
407	27215	39489
408	27264	39396
409	27305	39293
410	27361	39212
411	27419	39132
412	27465	39036
413	27546	38990
414	27611	38922
415	27675	38852
416	27735	38777
417	27802	38710
418	27859	38630
419	27926	38564
420	27999	38507
421	28063	38438
422	28130	38371
423	28215	38331
424	28321	38317
425	28411	38281
426	28502	38248
427	28558	38166
428	28636	38115
429	28703	38048
430	28776	37989
431	28885	37978
432	28938	37893
433	29018	37844
434	29097	37793
435	29150	37708
436	29205	37625
437	29261	37546
438	29325	37474
439	29425	37450
440	29486	37376
441	29591	37358
442	29656	37288
443	29711	37205
444	29780	37141
445	29869	37103
446	29941	37041
447	30004	36969
448	30098	36935
449	30143	36842
450	30210	36775
451	30275	36705
452	30328	36621
453	30417	36580
454	30487	36518
455	30525	36415
456	30592	36349
457	30657	36279
458	30743	36236
459	30803	36161
460	30924	36157
461	31002	36102
462	31096	36066
463	31156	35991
464	31239	35942
465	31342	35916
466	31418	35858
467	31473	35777
468	31565	35738
469	31650	35691
470	31734	35642
471	31816	35591
472	31891	35532
473	31983	35491
474	32107	35486
475	32230	35480
476	32298	35413
477	32374	35354
478	32431	35275
479	32489	35197
480	32544	35116
481	32616	35052
482	32679	34979
483	32757	34922
484	32832	34863
485	32906	34802
486	32969	34729
487	33017	34640
488	33093	34582
489	33144	34497
490	33211	34428
491	33270	34352
492	33324	34270
493	33397	34208
494	33467	34143
495	33549	34090
496	33625	34031
497	33679	33949
498	33765	33900
499	33844	33844
500	33943	33807
501	34008	33737
502	34058	33652
503	34134	33592
504	34196	33519
505	34262	33449
506	34325	33377
507	34368	33285
508	34430	33213
509	34489	33137
510	34539	33051
511	34598	32976
512	34656	32900
513	34721	32830
514	34801	32774
515	34862	32700
516	34938	32640
517	35018	32584
518	35087	32518
519	35185	32479
520	35260	32417
521	35336	32357
522	35399	32286
523	35488	32237
524	35552	32166
525	35618	32097
526	35678	32022
527	35753	31961
528	35812	31885
